algo,seed,dim,lr,bitrate,rnn_no_crf_ner,compress_type,space,la_sst_no_emb_norm,la_mr_no_emb_norm,la_subj_no_emb_norm,la_mpqa_no_emb_norm,rnn_no_crf_ner_quality,la_sst_quality_no_emb_norm,la_mr_quality_no_emb_norm,la_subj_quality_no_emb_norm,la_mpqa_quality_no_emb_norm,anchor_eigen_overlap_3.0_top_10000,knn_top_10000_nquery_1000_nn_5,sem_disp_top_10000,pip,eigen_overlap_top_10000
mc,1234,25,0.2,1,12.20414201183432,uniform,25,22.570016474464584,22.492970946579195,11.899999999999999,13.572101790763435,69.67999999999999,65.5684,63.26149999999999,83.0,70.5938,0.0652783778841068,0.13820000000000046,0.20950641517155877,10562.265890588775,0.547479570184616
mc,1235,25,0.2,1,12.278106508875739,uniform,25,26.19439868204283,27.460168697282093,10.299999999999997,12.818096135721014,70.13000000000001,66.0077,62.043099999999995,81.3,71.819,0.0698578315622946,0.1470000000000001,0.20625928775553157,10521.088173497572,0.5563664961804612
mc,1236,25,0.2,1,12.73422090729783,uniform,25,26.798462383305875,27.64761012183693,9.999999999999998,13.383600377002825,71.97,65.89789999999999,62.41799999999999,83.6,71.065,0.06932587239115529,0.1376000000000005,0.20817385731764315,10579.325721379513,0.550875668737538
mc,1234,25,0.2,2,12.70956607495069,uniform,50,19.275123558484353,20.805998125585756,10.799999999999999,13.28934967012253,70.63000000000001,67.106,64.3861,84.0,70.40530000000001,0.07031569514438554,0.17459999999999973,0.1987498858837493,5103.046295627211,0.5578351833742946
mc,1235,25,0.2,2,11.637080867850099,uniform,50,27.67710049423394,28.022492970946576,8.199999999999996,12.629594721960412,71.52,66.1175,62.3243,82.4,71.3478,0.07267489824425905,0.172,0.1974900167812165,5176.2957167655695,0.5706334895378693
mc,1236,25,0.2,2,11.612426035502958,uniform,50,26.633717737506867,28.49109653233365,9.499999999999996,12.158341187558907,71.1,67.87480000000001,62.6054,85.0,71.3478,0.07092693426373846,0.15940000000000001,0.19712293180138646,5110.477860861433,0.5662077390668333
mc,1234,25,0.2,4,9.023668639053255,uniform,100,17.133443163097194,14.339268978444231,6.100000000000005,10.74458058435438,74.9,70.4558,65.7919,86.1,74.0811,0.02941683025078062,0.3889999999999985,0.11626663185209714,2448.216372963385,0.7014640325474183
mc,1235,25,0.2,4,9.294871794871796,uniform,100,24.54695222405272,20.4311152764761,7.899999999999996,9.990574929311968,75.61,69.7419,66.54169999999999,84.2,70.5938,0.02984352910033736,0.37739999999999885,0.11033259925036402,2419.8670449264378,0.7145155303452225
mc,1236,25,0.2,4,9.257889546351086,uniform,100,17.95716639209226,19.58762886597938,6.899999999999995,10.55607917059378,74.61,69.85170000000001,66.54169999999999,86.3,71.25349999999999,0.029190306107298634,0.3801999999999989,0.11116681713284038,2421.301768209937,0.7163958639756607
mc,1234,25,0.2,8,7.630670611439842,uniform,200,14.442613948380012,11.340206185567014,5.500000000000005,8.38831291234684,75.55,69.85170000000001,68.0412,85.8,74.74080000000001,0.012711200643791724,0.6928000000000005,0.06991677113507029,1820.4531746652651,0.7728074199196768
mc,1235,25,0.2,8,7.877218934911243,uniform,200,23.668314113124655,16.682286785379574,5.600000000000005,9.802073515551369,75.06,71.4443,66.82289999999999,85.0,70.4995,0.011577975717176425,0.6892,0.06185020272956998,1731.7644166468067,0.7905572720786506
mc,1236,25,0.2,8,7.075936883629192,uniform,200,15.650741350906095,16.401124648547327,5.100000000000005,9.142318567389252,74.92999999999999,70.6755,67.10400000000001,85.8,74.1753,0.011792899772355349,0.7004000000000004,0.06247637711827814,1743.0777460793636,0.7939052999922142
mc,1234,25,0.2,16,7.544378698224852,uniform,400,14.113124656781984,11.52764761012184,5.800000000000005,8.57681432610744,75.77000000000001,70.1812,67.85379999999999,85.8,74.3638,0.012534248162856006,0.7023999999999999,0.06930668672592653,1813.653604926658,0.7735518383564041
mc,1235,25,0.2,16,8.530571992110454,uniform,400,23.33882482152664,16.213683223992504,6.499999999999995,9.802073515551369,76.55,71.8287,67.10400000000001,85.0,71.065,0.011381636805307661,0.6955999999999997,0.061184204720213006,1723.816843428906,0.7914064026446721
mc,1236,25,0.2,16,6.7430966469428,uniform,400,15.760571114772103,16.49484536082474,4.800000000000004,9.142318567389252,74.85000000000001,70.8402,67.2915,85.9,74.8351,0.01158854268926073,0.7088000000000007,0.06182478060577003,1735.005040171375,0.7947546043313208
