algo,seed,dim,lr,bitrate,rnn_no_crf_ner,compress_type,space,la_sst_no_emb_norm,la_mr_no_emb_norm,la_subj_no_emb_norm,la_mpqa_no_emb_norm,rnn_no_crf_ner_quality,la_sst_quality_no_emb_norm,la_mr_quality_no_emb_norm,la_subj_quality_no_emb_norm,la_mpqa_quality_no_emb_norm,anchor_eigen_overlap_3.0_top_10000,knn_top_10000_nquery_1000_nn_5,sem_disp_top_10000,pip,eigen_overlap_top_10000
w2v_cbow,1234,25,0.05,1,10.490631163708086,uniform,25,20.538165842943435,16.682286785379574,7.199999999999996,10.650329877474086,74.35000000000001,64.0308,64.761,84.2,71.3478,0.08716125028753181,0.2621999999999991,0.1384253860871224,340775.21335799247,0.7125571115051358
w2v_cbow,1235,25,0.05,1,10.071499013806706,uniform,25,17.572762218561234,14.71415182755389,7.399999999999995,11.404335532516496,72.47,64.5799,64.8547,83.8,69.4628,0.07901224150408495,0.31839999999999835,0.11207226511833976,313027.8930044821,0.7569065330515037
w2v_cbow,1236,25,0.05,1,9.134615384615383,uniform,25,15.980230642504123,11.996251171508899,5.000000000000004,5.655042412818101,73.29,66.6667,63.7301,82.1,70.40530000000001,0.0508596859574475,0.3873999999999994,0.07542346818456355,256297.68647404332,0.8318697528490204
w2v_cbow,1234,25,0.05,2,7.581360946745562,uniform,50,14.77210323997803,13.495782567947511,4.700000000000005,7.728557964184734,77.41,67.32560000000001,65.32329999999999,86.1,70.9708,0.04931954309353536,0.48419999999999974,0.07313182789658182,735678.6669301708,0.816600522400431
w2v_cbow,1235,25,0.05,2,9.344181459566075,uniform,50,17.133443163097194,10.68416119962512,4.700000000000005,8.953817153628652,77.28,66.72160000000001,65.2296,84.7,75.87180000000001,0.04577718877044992,0.5128000000000007,0.057122487527663385,686661.2590668403,0.8473299148155224
w2v_cbow,1236,25,0.05,2,6.68145956607495,uniform,50,11.257550796265791,10.68416119962512,4.700000000000005,6.597549481621112,77.39,68.0945,65.4171,84.89999999999999,72.573,0.028300445300325786,0.5756000000000017,0.04201423404334875,571082.1565913805,0.8865092359281822
w2v_cbow,1234,25,0.05,4,6.48422090729783,uniform,100,6.864360241625478,11.059044048734767,5.000000000000004,4.806786050895385,78.35,68.6436,64.8547,86.7,73.79830000000001,0.027107005472928634,0.7319999999999991,0.037821593929575056,1275443.576210371,0.8664653731860972
w2v_cbow,1235,25,0.05,4,7.088264299802762,uniform,100,6.754530477759468,10.028116213683225,3.0000000000000027,5.655042412818101,76.07000000000001,69.79679999999999,67.0103,86.7,75.87180000000001,0.025878137257530964,0.7423999999999988,0.0262581725110528,1157282.8318345097,0.8871220854083041
w2v_cbow,1236,25,0.05,4,5.818540433925049,uniform,100,7.138934651290496,7.685098406747892,2.8000000000000025,7.257304429783218,78.09,68.8083,65.7919,86.3,73.79830000000001,0.014683457101460363,0.7633999999999966,0.02099832909630053,1021556.9209402992,0.9130190591921674
w2v_cbow,1234,25,0.05,8,5.855522682445759,uniform,200,4.99725425590335,7.497656982193068,3.200000000000003,3.6757775683317617,77.77,67.4904,66.1668,86.1,74.2696,0.02195929616259912,0.8333999999999967,0.03307452458160709,2031348.1726517377,0.8646221961053879
w2v_cbow,1235,25,0.05,8,5.89250493096647,uniform,200,5.271828665568368,14.245548266166818,4.100000000000003,5.466540999057489,77.41,68.25919999999999,63.54260000000001,86.2,74.55229999999999,0.018920129077002364,0.8639999999999958,0.023631279751923744,1874785.809030664,0.8758182085323319
w2v_cbow,1236,25,0.05,8,5.498027613412229,uniform,200,4.1186161449752845,2.4367385192127444,1.5000000000000013,2.7332704995287505,79.05,68.20429999999999,65.7919,86.5,73.9868,0.011136855219066238,0.8827999999999954,0.015250864619242629,1708050.9233192243,0.9051670397469148
w2v_cbow,1234,25,0.05,16,6.077416173570019,uniform,400,4.88742449203734,11.62136832239925,3.400000000000003,3.4872761545711617,77.41,67.32560000000001,65.6982,86.2,74.3638,0.019780382055429733,0.8425999999999965,0.03364103301313851,2097009.687220349,0.8934263080484345
